name,nation,position,detailed_position,age,birth_date,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name,team_code,team_logo_url,player_id,player_image_url,season
André Onana,Cameroon,GOALKEEPER,GOALKEEPER,30,1996-04-02,13,1170,0,0,0,2,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250076171,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250076171.jpg,2022-23
Sandro Tonali,Italy,MIDFIELDER,DEFENSIVE_MIDFIELDER,26,2000-05-08,12,1053,0,2,0,3,0,AC Milan,MIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,250117809,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250117809.jpg,2022-23
Rúben Dias,Portugal,DEFENDER,CENTRE_BACK,29,1997-05-14,12,1048,1,1,0,2,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250058220,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250058220.jpg,2022-23
Lautaro Martínez,Argentina,FORWARD,STRIKER,28,1997-08-22,13,1002,3,3,0,3,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250118281,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250118281.jpg,2022-23
İlkay Gündoğan,Germany,MIDFIELDER,CENTRAL_MIDFIELDER,35,1990-10-24,13,997,1,2,0,4,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250005335,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250005335.jpg,2022-23
Nicolò Barella,Italy,MIDFIELDER,CENTRAL_MIDFIELDER,29,1997-02-07,12,997,3,0,0,3,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250066739,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250066739.jpg,2022-23
Rodri,Spain,MIDFIELDER,DEFENSIVE_MIDFIELDER,29,1996-06-22,12,996,2,0,0,1,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250082664,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250082664.jpg,2022-23
Ederson,Brazil,GOALKEEPER,UNKNOWN,32,1993-08-17,11,990,0,0,0,2,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250073809,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250073809.jpg,2022-23
Alessandro Bastoni,Italy,DEFENDER,CENTRE_BACK,27,1999-04-13,12,989,0,3,0,2,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250091199,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250091199.jpg,2022-23
Vinícius Júnior,Brazil,FORWARD,UNKNOWN,25,2000-07-12,12,975,7,6,0,1,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250121533,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250121533.jpg,2022-23
Federico Valverde,Uruguay,MIDFIELDER,UNKNOWN,27,1998-07-22,11,968,2,3,0,0,0,Real Madrid C.F.,RMA,https://img.uefa.com/imgml/TP/teams/logos/240x240/50051.png,250101284,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250101284.jpg,2022-23
Theo Hernández,France,DEFENDER,FULL_BACK,28,1997-10-06,11,948,0,1,0,2,0,AC Milan,MIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,250076126,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250076126.jpg,2022-23
Manuel Akanji,Switzerland,DEFENDER,UNKNOWN,30,1995-07-19,11,945,1,2,0,2,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250085369,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250085369.jpg,2022-23
Olivier Giroud,France,FORWARD,STRIKER,39,1986-09-30,12,939,5,2,2,1,0,AC Milan,MIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,250020851,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250020851.jpg,2022-23
Jack Grealish,England,MIDFIELDER,UNKNOWN,30,1995-09-10,13,936,0,1,0,1,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250042329,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042329.jpg,2022-23
Francesco Acerbi,Italy,DEFENDER,CENTRE_BACK,38,1988-02-10,12,919,0,0,0,1,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,250052957,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250052957.jpg,2022-23
Rafael Leão,Portugal,FORWARD,STRIKER,26,1999-06-10,11,913,1,4,0,0,0,AC Milan,MIL,https://img.uefa.com/imgml/TP/teams/logos/240x240/50058.png,250089228,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250089228.jpg,2022-23
Bernardo Silva,Portugal,MIDFIELDER,ATTACKING_MIDFIELDER,31,1994-08-10,13,909,3,1,0,2,0,Manchester City,MCI,https://img.uefa.com/imgml/TP/teams/logos/240x240/52919.png,250059115,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250059115.jpg,2022-23
Henrikh Mkhitaryan,Armenia,MIDFIELDER,ATTACKING_MIDFIELDER,37,1989-01-21,13,909,2,0,0,2,0,FC Internazionale Milano,INT,https://img.uefa.com/imgml/TP/teams/logos/240x240/50138.png,98023,https://img.uefa.com/imgml/TP/players/1/2023/324x324/98023.jpg,2022-23
Alejandro Grimaldo,Spain,DEFENDER,FULL_BACK,30,1995-09-20,10,900,2,4,0,0,0,SL Benfica,BEN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50147.png,250042422,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250042422.jpg,2022-23
Alex Meret,Italy,GOALKEEPER,GOALKEEPER,29,1997-03-22,10,900,0,0,0,0,0,SSC Napoli,NAP,https://img.uefa.com/imgml/TP/teams/logos/240x240/50136.png,250066753,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250066753.jpg,2022-23
Odysseas Vlachodimos,Greece,GOALKEEPER,GOALKEEPER,32,1994-04-26,10,900,0,0,0,0,0,SL Benfica,BEN,https://img.uefa.com/imgml/TP/teams/logos/240x240/50147.png,250023938,https://img.uefa.com/imgml/TP/players/1/2023/324x324/250023938.jpg,2022-23
