name,nation,position,age,matches_played,minutes_played,goals,assists,penalties_scored,yellow_cards,red_cards,team_name
Willian Pacho,Ecuador,DEFENDER,23,15.0,1362.0,0.0,0.0,0.0,0.0,0.0,Paris
Achraf Hakimi,Morocco,DEFENDER,26,15.0,1360.0,2.0,5.0,0.0,2.0,0.0,Paris
Nuno Mendes,Portugal,DEFENDER,22,14.0,1283.0,4.0,2.0,0.0,3.0,0.0,Paris
Vitinha,Portugal,MIDFIELDER,25,15.0,1268.0,2.0,1.0,1.0,0.0,0.0,Paris
João Neves,Portugal,MIDFIELDER,20,15.0,1261.0,1.0,1.0,0.0,2.0,0.0,Paris
Joshua Kimmich,Germany,MIDFIELDER,30,14.0,1260.0,0.0,6.0,0.0,1.0,0.0,Bayern München
Marquinhos,Brazil,DEFENDER,30,14.0,1259.0,0.0,0.0,0.0,3.0,0.0,Paris
Federico Valverde,Uruguay,MIDFIELDER,26,14.0,1236.0,0.0,3.0,0.0,1.0,0.0,Real Madrid
Gianluigi Donnarumma,Italy,GOALKEEPER,26,13.0,1200.0,0.0,0.0,0.0,0.0,0.0,Paris
Antonio Rüdiger,Germany,DEFENDER,32,13.0,1188.0,2.0,0.0,0.0,3.0,0.0,Real Madrid
Gregor Kobel,Switzerland,GOALKEEPER,27,13.0,1170.0,0.0,0.0,0.0,0.0,0.0,B. Dortmund
Jude Bellingham,England,MIDFIELDER,21,13.0,1136.0,3.0,2.0,0.0,3.0,0.0,Real Madrid
Kylian Mbappé,France,FORWARD,26,14.0,1132.0,7.0,2.0,0.0,1.0,0.0,Real Madrid
Harry Kane,England,FORWARD,31,13.0,1120.0,11.0,2.0,4.0,1.0,0.0,Bayern München
Thibaut Courtois,Belgium,GOALKEEPER,32,12.0,1110.0,0.0,0.0,0.0,0.0,0.0,Real Madrid
Jules Koundé,France,DEFENDER,26,13.0,1106.0,0.0,3.0,0.0,1.0,0.0,Barcelona
Raphinha,Brazil,FORWARD,28,13.0,1105.0,12.0,9.0,0.0,0.0,0.0,Barcelona
Vinícius Júnior,Brazil,FORWARD,24,12.0,1104.0,8.0,3.0,1.0,4.0,0.0,Real Madrid
Serhou Guirassy,Rep of Guinea,FORWARD,29,14.0,1084.0,13.0,4.0,5.0,2.0,0.0,B. Dortmund
Hans Vanaken,Belgium,MIDFIELDER,32,12.0,1080.0,1.0,1.0,1.0,1.0,0.0,Club Brugge
David Hancko,Slovakia,DEFENDER,27,12.0,1080.0,1.0,1.0,0.0,1.0,0.0,Feyenoord
Nicolas Otamendi,Argentina,DEFENDER,37,12.0,1080.0,1.0,0.0,0.0,2.0,0.0,Benfica
Nico Schlotterbeck,Germany,DEFENDER,25,12.0,1080.0,0.0,1.0,0.0,0.0,0.0,B. Dortmund
David Raya,Spain,GOALKEEPER,29,12.0,1080.0,0.0,0.0,0.0,2.0,0.0,Arsenal
Simon Mignolet,Belgium,GOALKEEPER,37,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,Club Brugge
Brandon Mechele,Belgium,DEFENDER,32,12.0,1080.0,0.0,0.0,0.0,1.0,0.0,Club Brugge
Yann Sommer,Switzerland,GOALKEEPER,36,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,Inter
Anatoliy Trubin,Ukraine,GOALKEEPER,23,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,Benfica
Emiliano Martínez,Argentina,GOALKEEPER,32,12.0,1080.0,0.0,0.0,0.0,0.0,0.0,Aston Villa
Maxim De Cuyper,Belgium,MIDFIELDER,24,12.0,1079.0,1.0,0.0,0.0,1.0,0.0,Club Brugge
Minjae Kim,Korea Republic,DEFENDER,28,13.0,1074.0,1.0,0.0,0.0,2.0,0.0,Bayern München
Ousmane Dembélé,France,FORWARD,27,13.0,1052.0,8.0,3.0,0.0,2.0,1.0,Paris
Joel Ordoñez,Ecuador,DEFENDER,21,12.0,1048.0,0.0,0.0,0.0,1.0,0.0,Club Brugge
Youri Tielemans,Belgium,MIDFIELDER,27,12.0,1046.0,2.0,3.0,0.0,1.0,0.0,Aston Villa
Michael Olise,France,MIDFIELDER,23,14.0,1033.0,5.0,1.0,1.0,1.0,0.0,Bayern München
Morgan Rogers,England,FORWARD,22,12.0,1025.0,4.0,3.0,0.0,1.0,0.0,Aston Villa
Walter Benítez,Argentina,GOALKEEPER,32,11.0,1020.0,0.0,0.0,0.0,1.0,0.0,PSV
Pedri,Spain,MIDFIELDER,22,13.0,1012.0,0.0,2.0,0.0,0.0,0.0,Barcelona
Bradley Barcola,France,FORWARD,22,15.0,1002.0,3.0,3.0,0.0,1.0,0.0,Paris
Orkun Kökçü,Türkiye,MIDFIELDER,24,12.0,995.0,4.0,0.0,1.0,2.0,0.0,Benfica
Fredrik Aursnes,Norway,MIDFIELDER,29,12.0,990.0,0.0,1.0,0.0,2.0,0.0,Benfica
Ezri Konsa,England,DEFENDER,27,11.0,990.0,1.0,0.0,0.0,1.0,0.0,Aston Villa
Dayot Upamecano,France,DEFENDER,26,11.0,990.0,0.0,1.0,0.0,1.0,0.0,Bayern München
Lamine Yamal,Spain,FORWARD,17,12.0,981.0,5.0,3.0,0.0,0.0,0.0,Barcelona
Fabian Ruiz,Spain,MIDFIELDER,29,15.0,977.0,0.0,4.0,0.0,2.0,0.0,Paris
Julian Ryerson,Norway,DEFENDER,27,12.0,956.0,0.0,0.0,0.0,2.0,0.0,B. Dortmund
Timon Wellenreuther,Germany,GOALKEEPER,29,11.0,955.0,0.0,0.0,0.0,1.0,0.0,Feyenoord
Robert Lewandowski,Poland,FORWARD,36,12.0,954.0,11.0,0.0,3.0,0.0,0.0,Barcelona
Ardon Jashari,Switzerland,MIDFIELDER,22,11.0,951.0,0.0,0.0,0.0,1.0,0.0,Club Brugge
Emre Can,Germany,DEFENDER,31,12.0,940.0,2.0,1.0,2.0,1.0,0.0,B. Dortmund
Christos Tzolis,Greece,FORWARD,23,12.0,939.0,1.0,4.0,0.0,2.0,0.0,Club Brugge
Raphael Onyedika,Nigeria,MIDFIELDER,24,11.0,939.0,1.0,1.0,0.0,2.0,1.0,Club Brugge
Jan Oblak,Slovenia,GOALKEEPER,32,10.0,930.0,0.0,0.0,0.0,0.0,0.0,Atleti
Tomas Araújo,Portugal,DEFENDER,22,11.0,927.0,0.0,0.0,0.0,0.0,0.0,Benfica
Igor Paixão,Brazil,FORWARD,24,11.0,921.0,2.0,4.0,0.0,0.0,0.0,Feyenoord
Pascal Gross,Germany,MIDFIELDER,33,13.0,918.0,1.0,2.0,0.0,3.0,0.0,B. Dortmund
Declan Rice,England,MIDFIELDER,26,12.0,915.0,4.0,2.0,0.0,2.0,0.0,Arsenal
Olivier Boscagli,France,DEFENDER,27,11.0,913.0,0.0,0.0,0.0,1.0,0.0,PSV
Vangelis Pavlidis,Greece,FORWARD,26,12.0,905.0,7.0,2.0,2.0,1.0,0.0,Benfica
Luuk de Jong,Netherlands,FORWARD,34,12.0,905.0,2.0,1.0,0.0,2.0,0.0,PSV
